"year","SVP","Kon","FDP","CVP","Demo","SP","LDU","CSP","GP","Ind","BDP","Lib","M","Oth","Seat","Code"
1850,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1851,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1852,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1853,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1854,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1855,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1856,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1857,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1858,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1859,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1860,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1861,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1862,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1863,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1864,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1865,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"ZH"
1866,0,0.11,0.78,0,0.11,0,0,0,0,0,0,0,0,0,9,"ZH"
1867,0,0.11,0.78,0,0.11,0,0,0,0,0,0,0,0,0,9,"ZH"
1868,0,0.11,0.78,0,0.11,0,0,0,0,0,0,0,0,0,9,"ZH"
1869,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,"ZH"
1870,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,"ZH"
1871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,"ZH"
1872,0,0,0.14,0,0.86,0,0,0,0,0,0,0,0,0,7,"ZH"
1873,0,0,0.14,0,0.86,0,0,0,0,0,0,0,0,0,7,"ZH"
1874,0,0,0.14,0,0.86,0,0,0,0,0,0,0,0,0,7,"ZH"
1875,0,0,0.14,0,0.86,0,0,0,0,0,0,0,0,0,7,"ZH"
1876,0,0,0.14,0,0.86,0,0,0,0,0,0,0,0,0,7,"ZH"
1877,0,0,0.29,0,0.71,0,0,0,0,0,0,0,0,0,7,"ZH"
1878,0,0,0.29,0,0.71,0,0,0,0,0,0,0,0,0,7,"ZH"
1879,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1880,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1881,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1882,0,0,0.29,0,0.71,0,0,0,0,0,0,0,0,0,7,"ZH"
1883,0,0,0.29,0,0.71,0,0,0,0,0,0,0,0,0,7,"ZH"
1884,0,0,0.29,0,0.71,0,0,0,0,0,0,0,0,0,7,"ZH"
1885,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1886,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1887,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1888,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1889,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1890,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1891,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1892,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1893,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1894,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1895,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1896,0,0,0.43,0,0.57,0,0,0,0,0,0,0,0,0,7,"ZH"
1897,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1898,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1899,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1900,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1901,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1902,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1903,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1904,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1905,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1906,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1907,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1908,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1909,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1910,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1911,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1912,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1913,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1914,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1915,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1916,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1917,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1918,0,0,0.43,0,0.43,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1919,0.14,0,0.43,0,0.29,0.14,0,0,0,0,0,0,0,0,7,"ZH"
1920,0.29,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0.14,7,"ZH"
1921,0.29,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0.14,7,"ZH"
1922,0.29,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0.14,7,"ZH"
1923,0.29,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0.14,7,"ZH"
1924,0.29,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0.14,7,"ZH"
1925,0.29,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0.14,7,"ZH"
1926,0.29,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0.14,7,"ZH"
1927,0.29,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0.14,7,"ZH"
1928,0.29,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0.14,7,"ZH"
1929,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1930,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1931,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1932,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1933,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1934,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1935,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1936,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1937,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1938,0.14,0,0.29,0,0.14,0.43,0,0,0,0,0,0,0,0,7,"ZH"
1939,0.14,0,0.29,0,0.14,0.43,0,0,0,0,0,0,0,0,7,"ZH"
1940,0.14,0,0.29,0,0.14,0.43,0,0,0,0,0,0,0,0,7,"ZH"
1941,0.14,0,0.29,0,0.14,0.43,0,0,0,0,0,0,0,0,7,"ZH"
1942,0.14,0,0.29,0,0.14,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1943,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1944,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1945,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1946,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1947,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1948,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1949,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1950,0.29,0,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,7,"ZH"
1951,0.29,0,0.29,0,0,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1952,0.29,0,0.29,0,0,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1953,0.29,0,0.29,0,0,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1954,0.29,0,0.14,0,0.14,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1955,0.29,0,0.14,0,0.14,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1956,0.29,0,0.14,0,0.14,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1957,0.29,0,0.14,0,0.14,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1958,0.29,0,0.14,0,0.14,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1959,0.29,0,0.29,0,0,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1960,0.29,0,0.29,0,0,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1961,0.29,0,0.29,0,0,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1962,0.29,0,0.29,0,0,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1963,0.29,0,0.29,0,0,0.14,0.14,0.14,0,0,0,0,0,0,7,"ZH"
1964,0.29,0,0.29,0,0,0.14,0.14,0.14,0,0,0,0,0,0,7,"ZH"
1965,0.29,0,0.29,0,0,0.14,0.14,0.14,0,0,0,0,0,0,7,"ZH"
1966,0.29,0,0.29,0,0,0.14,0.14,0.14,0,0,0,0,0,0,7,"ZH"
1967,0.29,0,0.29,0,0,0.14,0.14,0.14,0,0,0,0,0,0,7,"ZH"
1968,0.29,0,0.29,0,0,0.14,0.14,0.14,0,0,0,0,0,0,7,"ZH"
1969,0.29,0,0.29,0,0,0.14,0.14,0.14,0,0,0,0,0,0,7,"ZH"
1970,0.29,0,0.29,0,0,0.14,0.14,0.14,0,0,0,0,0,0,7,"ZH"
1971,0.29,0,0.29,0,0,0.14,0.14,0.14,0,0,0,0,0,0,7,"ZH"
1972,0.29,0,0.29,0,0,0.14,0.14,0.14,0,0,0,0,0,0,7,"ZH"
1973,0.29,0,0.29,0,0,0.14,0.14,0.14,0,0,0,0,0,0,7,"ZH"
1974,0.29,0,0.29,0,0,0.14,0.14,0.14,0,0,0,0,0,0,7,"ZH"
1975,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1976,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1977,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1978,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1979,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1980,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1981,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1982,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1983,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1984,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1985,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1986,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1987,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1988,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1989,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1990,0.29,0,0.29,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7,"ZH"
1991,0.14,0,0.29,0.14,0,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1992,0.14,0,0.29,0.14,0,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1993,0.14,0,0.29,0.14,0,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1994,0.14,0,0.29,0.14,0,0.29,0.14,0,0,0,0,0,0,0,7,"ZH"
1995,0.29,0,0.29,0.14,0,0.14,0,0,0.14,0,0,0,0,0,7,"ZH"
1996,0.29,0,0.29,0.14,0,0.14,0,0,0.14,0,0,0,0,0,7,"ZH"
1997,0.29,0,0.29,0.14,0,0.14,0,0,0.14,0,0,0,0,0,7,"ZH"
1998,0.29,0,0.29,0.14,0,0.14,0,0,0.14,0,0,0,0,0,7,"ZH"
1999,0.29,0,0.29,0.14,0,0.14,0,0,0.14,0,0,0,0,0,7,"ZH"
2000,0.29,0,0.29,0.14,0,0.14,0,0,0.14,0,0,0,0,0,7,"ZH"
2001,0.29,0,0.29,0.14,0,0.14,0,0,0.14,0,0,0,0,0,7,"ZH"
2002,0.29,0,0.29,0.14,0,0.14,0,0,0.14,0,0,0,0,0,7,"ZH"
2003,0.29,0,0.29,0,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
2004,0.29,0,0.29,0,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
2005,0.14,0,0.29,0.14,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
2006,0.14,0,0.29,0.14,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
2007,0.29,0,0.29,0.14,0,0.29,0,0,0,0,0,0,0,0,7,"ZH"
2008,0.29,0,0.29,0.14,0,0.29,0,0,0,0,0,0,0,0,7,"ZH"
2009,0.29,0,0.29,0.14,0,0.29,0,0,0,0,0,0,0,0,7,"ZH"
2010,0.29,0,0.29,0.14,0,0.29,0,0,0,0,0,0,0,0,7,"ZH"
2011,0.29,0,0.29,0,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
2012,0.29,0,0.29,0,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
2013,0.29,0,0.29,0,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
2014,0.29,0,0.29,0,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
2015,0.29,0,0.29,0.14,0,0.29,0,0,0,0,0,0,0,0,7,"ZH"
2016,0.29,0,0.29,0.14,0,0.29,0,0,0,0,0,0,0,0,7,"ZH"
2017,0.29,0,0.29,0.14,0,0.29,0,0,0,0,0,0,0,0,7,"ZH"
2018,0.29,0,0.29,0.14,0,0.29,0,0,0,0,0,0,0,0,7,"ZH"
2019,0.29,0,0.29,0.14,0,0.29,0,0,0,0,0,0,0,0,7,"ZH"
2020,0.29,0,0.14,0.14,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
2021,0.29,0,0.14,0.14,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
2022,0.29,0,0.14,0.14,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
2023,0.29,0,0.14,0.14,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
2024,0.29,0,0.14,0.14,0,0.29,0,0,0.14,0,0,0,0,0,7,"ZH"
1846,0,0,0.89,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1847,0,0,0.89,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1848,0,0,0.89,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1849,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1851,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1852,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1853,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1854,0,0.56,0.44,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1855,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1856,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1857,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1858,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1859,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1860,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1861,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1862,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1863,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1864,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1865,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1866,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1867,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1868,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1869,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1870,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1871,0,0.11,0.78,0,0,0,0,0,0,0,0,0.11,0,0,9,"BE"
1872,0,0.11,0.67,0,0,0,0,0,0,0,0,0.22,0,0,9,"BE"
1873,0,0.11,0.67,0,0,0,0,0,0,0,0,0.22,0,0,9,"BE"
1874,0,0.11,0.67,0,0,0,0,0,0,0,0,0.22,0,0,9,"BE"
1875,0,0.11,0.67,0,0,0,0,0,0,0,0,0.22,0,0,9,"BE"
1876,0,0.11,0.67,0,0,0,0,0,0,0,0,0.22,0,0,9,"BE"
1877,0,0.11,0.67,0,0,0,0,0,0,0,0,0.22,0,0,9,"BE"
1878,0,0.14,0.71,0,0,0,0,0,0,0,0,0.14,0,0,7,"BE"
1879,0,0.14,0.71,0,0,0,0,0,0,0,0,0.14,0,0,7,"BE"
1880,0,0.14,0.71,0,0,0,0,0,0,0,0,0.14,0,0,7,"BE"
1881,0,0.14,0.71,0,0,0,0,0,0,0,0,0.14,0,0,7,"BE"
1882,0,0.12,0.75,0,0,0,0,0,0,0,0,0.12,0,0,8,"BE"
1883,0,0.12,0.75,0,0,0,0,0,0,0,0,0.12,0,0,8,"BE"
1884,0,0.12,0.75,0,0,0,0,0,0,0,0,0.12,0,0,8,"BE"
1885,0,0.12,0.75,0,0,0,0,0,0,0,0,0.12,0,0,8,"BE"
1886,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1887,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1888,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1889,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1890,0,0.11,0.89,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1891,0,0.11,0.89,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1892,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1893,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1894,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1895,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1896,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1897,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1898,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1899,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1900,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1901,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1902,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1903,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1904,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1905,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1906,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1907,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1908,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1909,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1910,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1911,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1912,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1913,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1914,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1915,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1916,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1917,0,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1918,0.22,0,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1919,0.22,0,0.78,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1920,0.33,0,0.67,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1921,0.33,0,0.67,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1922,0.33,0,0.67,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1923,0.33,0,0.67,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1924,0.33,0,0.67,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1925,0.33,0,0.67,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1926,0.44,0,0.56,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1927,0.56,0,0.44,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1928,0.44,0,0.56,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1929,0.44,0,0.56,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1930,0.44,0,0.56,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1931,0.56,0,0.44,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1932,0.56,0,0.44,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1933,0.56,0,0.44,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1934,0.56,0,0.44,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1935,0.56,0,0.44,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1936,0.56,0,0.44,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1937,0.56,0,0.44,0,0,0,0,0,0,0,0,0,0,0,9,"BE"
1938,0.44,0,0.33,0,0,0.22,0,0,0,0,0,0,0,0,9,"BE"
1939,0.44,0,0.33,0,0,0.22,0,0,0,0,0,0,0,0,9,"BE"
1940,0.44,0,0.33,0,0,0.22,0,0,0,0,0,0,0,0,9,"BE"
1941,0.44,0,0.33,0,0,0.22,0,0,0,0,0,0,0,0,9,"BE"
1942,0.44,0,0.33,0,0,0.22,0,0,0,0,0,0,0,0,9,"BE"
1943,0.44,0,0.33,0,0,0.22,0,0,0,0,0,0,0,0,9,"BE"
1944,0.44,0,0.33,0,0,0.22,0,0,0,0,0,0,0,0,9,"BE"
1945,0.44,0,0.33,0,0,0.22,0,0,0,0,0,0,0,0,9,"BE"
1946,0.44,0,0.22,0,0,0.33,0,0,0,0,0,0,0,0,9,"BE"
1947,0.44,0,0.22,0,0,0.33,0,0,0,0,0,0,0,0,9,"BE"
1948,0.44,0,0.22,0,0,0.33,0,0,0,0,0,0,0,0,9,"BE"
1949,0.44,0,0.22,0,0,0.33,0,0,0,0,0,0,0,0,9,"BE"
1950,0.44,0,0.22,0,0,0.33,0,0,0,0,0,0,0,0,9,"BE"
1951,0.44,0,0.22,0,0,0.33,0,0,0,0,0,0,0,0,9,"BE"
1952,0.44,0,0.22,0,0,0.33,0,0,0,0,0,0,0,0,9,"BE"
1953,0.44,0,0.22,0,0,0.33,0,0,0,0,0,0,0,0,9,"BE"
1954,0.44,0,0.22,0,0,0.33,0,0,0,0,0,0,0,0,9,"BE"
1955,0.44,0,0.22,0,0,0.33,0,0,0,0,0,0,0,0,9,"BE"
1956,0.44,0,0.22,0,0,0.33,0,0,0,0,0,0,0,0,9,"BE"
1957,0.44,0,0.22,0,0,0.33,0,0,0,0,0,0,0,0,9,"BE"
